s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,ZONE_1
 2.4001515E+002, 0.0000000E+000, 5.2923025E-001,-1.7553648E-001, 5.9896125E-001, 0.0000000E+000,-1.2734686E+000, 0.0000000E+000,-3.2088040E-001,-3.2081355E-001,-1.3686794E-002,-5.9205182E+003
 2.5007379E+002, 0.0000000E+000, 5.3680883E-001,-1.7627126E-001, 6.0305982E-001, 0.0000000E+000,-1.2650111E+000, 0.0000000E+000,-3.0151775E-001,-3.0141376E-001,-1.3652708E-002,-6.1325960E+003
 2.6005566E+002, 0.0000000E+000, 5.4375566E-001,-1.7141405E-001, 6.1227110E-001, 0.0000000E+000,-1.2547918E+000, 0.0000000E+000,-2.7028926E-001,-2.7017912E-001,-1.3637267E-002,-6.3413562E+003
 2.7003754E+002, 0.0000000E+000, 5.5005445E-001,-1.7108989E-001, 6.2698013E-001, 0.0000000E+000,-1.2426975E+000, 0.0000000E+000,-2.3683540E-001,-2.3675279E-001,-1.3607308E-002,-6.5481035E+003
 2.8001938E+002, 0.0000000E+000, 5.5566425E-001,-1.6896651E-001, 6.3529461E-001, 0.0000000E+000,-1.2334583E+000, 0.0000000E+000,-2.1155291E-001,-2.1146596E-001,-1.3583534E-002,-6.7533136E+003
 2.9000125E+002, 0.0000000E+000, 5.6075067E-001,-1.6948774E-001, 6.4610202E-001, 0.0000000E+000,-1.2234564E+000, 0.0000000E+000,-1.8612894E-001,-1.8609142E-001,-1.3551298E-002,-6.9568576E+003
 3.0005991E+002, 0.0000000E+000, 5.6539450E-001,-1.6598741E-001, 6.4364159E-001, 0.0000000E+000,-1.2189070E+000, 0.0000000E+000,-1.7585531E-001,-1.7585828E-001,-1.3532367E-002,-7.1612034E+003
 3.1000919E+002, 0.0000000E+000, 5.6976478E-001,-1.6556862E-001, 6.4701724E-001, 0.0000000E+000,-1.2121693E+000, 0.0000000E+000,-1.6098069E-001,-1.6095590E-001,-1.3503465E-002,-7.3622113E+003
 3.2006781E+002, 0.0000000E+000, 5.7367915E-001,-1.6111760E-001, 6.5289343E-001, 0.0000000E+000,-1.2046509E+000, 0.0000000E+000,-1.3922925E-001,-1.3919595E-001,-1.3488022E-002,-7.5641695E+003
 3.3004968E+002, 0.0000000E+000, 5.7728370E-001,-1.6242850E-001, 6.6004240E-001, 0.0000000E+000,-1.1967674E+000, 0.0000000E+000,-1.2189774E-001,-1.2186976E-001,-1.3453761E-002,-7.7632728E+003
 3.4003156E+002, 0.0000000E+000, 5.8042835E-001,-1.5597543E-001, 6.6036125E-001, 0.0000000E+000,-1.1918058E+000, 0.0000000E+000,-1.0700129E-001,-1.0699164E-001,-1.3445331E-002,-7.9615505E+003
 3.5001340E+002, 0.0000000E+000, 5.8324929E-001,-1.5574239E-001, 6.6620248E-001, 0.0000000E+000,-1.1847996E+000, 0.0000000E+000,-9.1089721E-002,-9.1090256E-002,-1.3416566E-002,-8.1586629E+003
 3.6007205E+002, 0.0000000E+000, 5.8583896E-001,-1.5801043E-001, 6.6453588E-001, 0.0000000E+000,-1.1808706E+000, 0.0000000E+000,-8.8444459E-002,-8.8506140E-002,-1.3379605E-002,-8.3566310E+003
 3.7005392E+002, 0.0000000E+000, 5.8841896E-001,-1.6072338E-001, 6.6399908E-001, 0.0000000E+000,-1.1765081E+000, 0.0000000E+000,-8.4800112E-002,-8.4813493E-002,-1.3341267E-002,-8.5523637E+003
 3.8003580E+002, 0.0000000E+000, 5.9068490E-001,-1.5763966E-001, 6.7160330E-001, 0.0000000E+000,-1.1690669E+000, 0.0000000E+000,-6.4441455E-002,-6.4418365E-002,-1.3322271E-002,-8.7468600E+003
 3.9001764E+002, 0.0000000E+000, 5.9258303E-001,-1.5671265E-001, 6.7343857E-001, 0.0000000E+000,-1.1640955E+000, 0.0000000E+000,-5.4747227E-002,-5.4786582E-002,-1.3296348E-002,-8.9405255E+003
 4.0000000E+002, 0.0000000E+000, 5.9442905E-001,-1.5703563E-001, 6.7333194E-001, 0.0000000E+000,-1.1599175E+000, 0.0000000E+000,-4.9206334E-002,-4.9192107E-002,-1.3266399E-002,-9.1335079E+003
