,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2024-09-25T15:58:28.959+02:00, 0.380E-01,   0.03799, 0.19979E+02
       2,2024-09-25T15:58:29.764+02:00, 0.380E-01,   0.07598, 0.20783E+02
       3,2024-09-25T15:58:31.318+02:00, 0.380E-01,   0.11396, 0.22335E+02
       4,2024-09-25T15:58:32.127+02:00, 0.380E-01,   0.15195, 0.23143E+02
       5,2024-09-25T15:58:32.936+02:00, 0.380E-01,   0.18994, 0.23951E+02
       6,2024-09-25T15:58:34.480+02:00, 0.380E-01,   0.22793, 0.25493E+02
       7,2024-09-25T15:58:35.291+02:00, 0.380E-01,   0.26591, 0.26302E+02
       8,2024-09-25T15:58:36.102+02:00, 0.380E-01,   0.30390, 0.27112E+02
       9,2024-09-25T15:58:37.654+02:00, 0.380E-01,   0.34189, 0.28659E+02
      10,2024-09-25T15:58:38.469+02:00, 0.380E-01,   0.37988, 0.29467E+02
      20,2024-09-25T15:58:48.654+02:00, 0.380E-01,   0.75975, 0.39641E+02
      30,2024-09-25T15:58:59.535+02:00, 0.380E-01,   1.13963, 0.50504E+02
      40,2024-09-25T15:59:09.987+02:00, 0.340E-01,   1.51551, 0.60937E+02
      50,2024-09-25T15:59:20.088+02:00, 0.340E-01,   1.85542, 0.71028E+02
      60,2024-09-25T15:59:30.922+02:00, 0.340E-01,   2.19533, 0.81847E+02
      70,2024-09-25T15:59:41.068+02:00, 0.340E-01,   2.53523, 0.91973E+02
      80,2024-09-25T15:59:51.136+02:00, 0.340E-01,   2.87514, 0.10203E+03
      90,2024-09-25T16:00:01.956+02:00, 0.340E-01,   3.21505, 0.11284E+03
     100,2024-09-25T16:00:12.078+02:00, 0.340E-01,   3.55496, 0.12294E+03
     200,2024-09-25T16:01:55.315+02:00, 0.258E-01,   6.23233, 0.22600E+03
     300,2024-09-25T16:03:36.904+02:00, 0.251E-01,   8.67474, 0.32744E+03
     400,2024-09-25T16:05:16.916+02:00, 0.277E-01,  11.20356, 0.42729E+03
     500,2024-09-25T16:06:56.250+02:00, 0.243E-01,  13.83332, 0.52650E+03
     600,2024-09-25T16:08:35.672+02:00, 0.267E-01,  16.34497, 0.62580E+03
     700,2024-09-25T16:10:14.687+02:00, 0.262E-01,  19.01357, 0.72469E+03
     800,2024-09-25T16:11:53.257+02:00, 0.262E-01,  21.62990, 0.82313E+03
     900,2024-09-25T16:13:32.896+02:00, 0.240E-01,  24.23456, 0.92262E+03
    1000,2024-09-25T16:15:11.254+02:00, 0.257E-01,  26.68087, 0.10209E+04
    1100,2024-09-25T16:16:49.567+02:00, 0.245E-01,  29.01773, 0.11191E+04
    1200,2024-09-25T16:18:27.900+02:00, 0.270E-01,  31.52256, 0.12173E+04
    1300,2024-09-25T16:20:05.615+02:00, 0.264E-01,  34.11401, 0.13148E+04
    1400,2024-09-25T16:21:43.311+02:00, 0.236E-01,  36.65410, 0.14124E+04
    1500,2024-09-25T16:23:21.552+02:00, 0.259E-01,  39.13458, 0.15105E+04
    1600,2024-09-25T16:25:00.099+02:00, 0.219E-01,  41.66970, 0.16090E+04
    1700,2024-09-25T16:26:37.888+02:00, 0.263E-01,  44.12866, 0.17066E+04
    1800,2024-09-25T16:28:16.456+02:00, 0.258E-01,  46.69503, 0.18051E+04
    1900,2024-09-25T16:29:54.404+02:00, 0.250E-01,  49.06395, 0.19029E+04
    2000,2024-09-25T16:31:32.513+02:00, 0.267E-01,  51.49640, 0.20009E+04
    2100,2024-09-25T16:33:11.022+02:00, 0.238E-01,  54.05677, 0.20993E+04
    2200,2024-09-25T16:34:48.696+02:00, 0.249E-01,  56.37443, 0.21968E+04
    2300,2024-09-25T16:36:26.373+02:00, 0.245E-01,  58.82251, 0.22944E+04
    2400,2024-09-25T16:38:04.856+02:00, 0.245E-01,  61.27631, 0.23927E+04
    2500,2024-09-25T16:39:42.650+02:00, 0.264E-01,  63.84652, 0.24904E+04
    2600,2024-09-25T16:41:20.457+02:00, 0.237E-01,  66.44802, 0.25881E+04
    2700,2024-09-25T16:42:58.957+02:00, 0.234E-01,  68.90107, 0.26864E+04
    2800,2024-09-25T16:44:37.528+02:00, 0.207E-01,  71.49251, 0.27849E+04
    2900,2024-09-25T16:46:15.354+02:00, 0.248E-01,  73.96536, 0.28825E+04
    3000,2024-09-25T16:47:54.017+02:00, 0.245E-01,  76.63944, 0.29811E+04
    3100,2024-09-25T16:49:32.310+02:00, 0.254E-01,  79.07955, 0.30792E+04
    3200,2024-09-25T16:51:10.529+02:00, 0.252E-01,  81.78571, 0.31773E+04
    3300,2024-09-25T16:52:49.430+02:00, 0.271E-01,  84.35245, 0.32760E+04
    3400,2024-09-25T16:54:27.536+02:00, 0.271E-01,  87.06374, 0.33739E+04
    3500,2024-09-25T16:56:06.078+02:00, 0.257E-01,  89.74495, 0.34723E+04
    3600,2024-09-25T16:57:45.463+02:00, 0.247E-01,  92.44020, 0.35715E+04
    3700,2024-09-25T16:59:23.685+02:00, 0.242E-01,  94.99502, 0.36696E+04
    3800,2024-09-25T17:01:01.884+02:00, 0.263E-01,  97.65277, 0.37676E+04
    3893,2024-09-25T17:02:33.758+02:00, 0.174E-01, 100.00000, 0.38593E+04
