s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,ZONE_1
 0.0000000E+000, 0.0000000E+000,-3.4133092E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4133092E-004, 0.0000000E+000,-1.8511390E-001
 1.0256667E+000, 0.0000000E+000,-2.6702020E-004,-2.8942170E-001, 3.6094203E-004, 0.0000000E+000, 5.2693436E-005, 0.0000000E+000,-2.7031285E-001,-2.8927509E-001, 8.7078964E-004,-1.8434077E-001
 2.0253720E+000, 0.0000000E+000, 3.2474580E-004,-9.1927869E-001, 2.6753211E-003, 0.0000000E+000, 1.1913945E-003, 0.0000000E+000,-9.0452073E-001,-9.1508723E-001, 2.9796530E-003,-1.6483513E-001
 3.0111063E+000, 0.0000000E+000, 2.3001656E-003,-1.1018882E+000, 3.2293323E-003, 0.0000000E+000, 2.2070164E-003, 0.0000000E+000,-1.0925197E+000,-1.0941517E+000, 3.6197706E-003,-1.2886540E-001
 4.0000181E+000, 0.0000000E+000, 4.5709752E-003,-1.1304529E+000, 3.6298934E-003, 0.0000000E+000, 3.2907534E-003, 0.0000000E+000,-1.1188176E+000,-1.1189613E+000, 3.7202863E-003,-7.4941124E-002
 5.0020781E+000, 0.0000000E+000, 6.8669931E-003,-1.1345065E+000, 3.8695351E-003, 0.0000000E+000, 4.3241708E-003, 0.0000000E+000,-1.1194908E+000,-1.1194458E+000, 3.7345828E-003,-2.9295605E-003
 6.0003672E+000, 0.0000000E+000, 9.2139215E-003,-1.1350690E+000, 4.1361010E-003, 0.0000000E+000, 5.3701102E-003, 0.0000000E+000,-1.1164249E+000,-1.1163489E+000, 3.7365414E-003, 8.6176070E-002
 7.0156746E+000, 0.0000000E+000, 1.1586531E-002,-1.1351493E+000, 4.1667275E-003, 0.0000000E+000, 6.3227413E-003, 0.0000000E+000,-1.1131362E+000,-1.1130733E+000, 3.7368185E-003, 1.9299419E-001
 8.0211697E+000, 0.0000000E+000, 1.3989275E-002,-1.1351598E+000, 4.2390806E-003, 0.0000000E+000, 7.3125720E-003, 0.0000000E+000,-1.1096911E+000,-1.1096188E+000, 3.7368548E-003, 3.1532722E-001
 9.0015278E+000, 0.0000000E+000, 1.6421592E-002,-1.1351680E+000, 4.5342396E-003, 0.0000000E+000, 8.4063051E-003, 0.0000000E+000,-1.1058896E+000,-1.1058059E+000, 3.7368822E-003, 4.5242310E-001
 1.0007023E+001, 0.0000000E+000, 1.8952130E-002,-1.1351718E+000, 6.1544409E-003, 0.0000000E+000, 1.0058955E-002, 0.0000000E+000,-1.1001381E+000,-1.1000063E+000, 3.7368946E-003, 6.2051089E-001
 1.1012519E+001, 0.0000000E+000, 2.1595091E-002,-1.1351832E+000, 1.4590840E-002, 0.0000000E+000, 1.4455289E-002, 0.0000000E+000,-1.0849119E+000,-1.0845420E+000, 3.7369321E-003, 8.6112453E-001
 1.2005445E+001, 0.0000000E+000, 2.4198974E-002,-1.1352043E+000, 3.9092125E-002, 0.0000000E+000, 2.5225313E-002, 0.0000000E+000,-1.0472114E+000,-1.0466879E+000, 3.7370016E-003, 1.2761412E+000
 1.3008233E+001, 0.0000000E+000, 2.6687118E-002,-1.1352426E+000, 5.5464244E-002, 0.0000000E+000, 3.2714127E-002, 0.0000000E+000,-1.0206818E+000,-1.0203771E+000, 3.7371276E-003, 1.8214947E+000
 1.4003188E+001, 0.0000000E+000, 2.9073261E-002,-1.1352923E+000, 7.0435113E-002, 0.0000000E+000, 3.9615512E-002, 0.0000000E+000,-9.9645042E-001,-9.9616842E-001, 3.7372912E-003, 2.4770875E+000
 1.5022410E+001, 0.0000000E+000, 3.1438000E-002,-1.1353532E+000, 7.9878693E-002, 0.0000000E+000, 4.4302671E-002, 0.0000000E+000,-9.7992140E-001,-9.7973386E-001, 3.7374917E-003, 3.2288298E+000
 1.6024645E+001, 0.0000000E+000, 3.3819649E-002,-1.1354138E+000, 9.3344619E-002, 0.0000000E+000, 5.0603749E-002, 0.0000000E+000,-9.5800635E-001,-9.5764580E-001, 3.7376911E-003, 4.0724394E+000
 1.7025152E+001, 0.0000000E+000, 3.6103369E-002,-1.1354882E+000, 1.0752875E-001, 0.0000000E+000, 5.7149184E-002, 0.0000000E+000,-9.3492876E-001,-9.3470694E-001, 3.7379361E-003, 5.0243344E+000
 1.8019360E+001, 0.0000000E+000, 3.8267644E-002,-1.1355725E+000, 1.1064080E-001, 0.0000000E+000, 5.9241359E-002, 0.0000000E+000,-9.2742256E-001,-9.2742268E-001, 3.7382133E-003, 6.0059863E+000
 1.9013567E+001, 0.0000000E+000, 4.0429997E-002,-1.1356562E+000, 1.0698594E-001, 0.0000000E+000, 5.8652502E-002, 0.0000000E+000,-9.2958523E-001,-9.2958779E-001, 3.7384890E-003, 6.9779132E+000
