s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,ZONE_1
 7.5020340E+001, 0.0000000E+000, 1.2702867E-001,-1.0592370E+000, 2.0052664E-001, 0.0000000E+000, 1.3019390E-001, 0.0000000E+000,-6.0164632E-001,-6.0148776E-001, 3.4869324E-003, 1.0275835E+002
 7.6014595E+001, 0.0000000E+000, 1.2836148E-001,-1.0542527E+000, 2.0252420E-001, 0.0000000E+000, 1.3151295E-001, 0.0000000E+000,-5.9212527E-001,-5.9185405E-001, 3.4705393E-003, 1.0493721E+002
 7.7008850E+001, 0.0000000E+000, 1.2963132E-001,-1.0485211E+000, 2.0444152E-001, 0.0000000E+000, 1.3277394E-001, 0.0000000E+000,-5.8184623E-001,-5.8167429E-001, 3.4516747E-003, 1.0713701E+002
 7.8003105E+001, 0.0000000E+000, 1.3090043E-001,-1.0429171E+000, 2.0593174E-001, 0.0000000E+000, 1.3387352E-001, 0.0000000E+000,-5.7239971E-001,-5.7221144E-001, 3.4331919E-003, 1.0935507E+002
 7.9005562E+001, 0.0000000E+000, 1.3217246E-001,-1.0450305E+000, 2.0588152E-001, 0.0000000E+000, 1.3435504E-001, 0.0000000E+000,-5.7254435E-001,-5.7262146E-001, 3.4401636E-003, 1.1159957E+002
 8.0025749E+001, 0.0000000E+000, 1.3351177E-001,-1.0516424E+000, 2.1104192E-001, 0.0000000E+000, 1.3694068E-001, 0.0000000E+000,-5.7033768E-001,-5.7014804E-001, 3.4619565E-003, 1.1392676E+002
 8.1038437E+001, 0.0000000E+000, 1.3484809E-001,-1.0538814E+000, 2.1724164E-001, 0.0000000E+000, 1.3993489E-001, 0.0000000E+000,-5.6197446E-001,-5.6185674E-001, 3.4693113E-003, 1.1628800E+002
 8.2013725E+001, 0.0000000E+000, 1.3609325E-001,-1.0536377E+000, 2.1898282E-001, 0.0000000E+000, 1.4112305E-001, 0.0000000E+000,-5.5752131E-001,-5.5743860E-001, 3.4685045E-003, 1.1858165E+002
 8.3007057E+001, 0.0000000E+000, 1.3729390E-001,-1.0541632E+000, 2.1888753E-001, 0.0000000E+000, 1.4156491E-001, 0.0000000E+000,-5.5639036E-001,-5.5641683E-001, 3.4702397E-003, 1.2092536E+002
 8.4037292E+001, 0.0000000E+000, 1.3856056E-001,-1.0572386E+000, 2.1609098E-001, 0.0000000E+000, 1.4094970E-001, 0.0000000E+000,-5.6159290E-001,-5.6163734E-001, 3.4803698E-003, 1.2334559E+002
 8.5041504E+001, 0.0000000E+000, 1.3986158E-001,-1.0589611E+000, 2.1864027E-001, 0.0000000E+000, 1.4247352E-001, 0.0000000E+000,-5.5813225E-001,-5.5798574E-001, 3.4860039E-003, 1.2572923E+002
 8.6008614E+001, 0.0000000E+000, 1.4110469E-001,-1.0634796E+000, 2.2283374E-001, 0.0000000E+000, 1.4464152E-001, 0.0000000E+000,-5.5495960E-001,-5.5489967E-001, 3.5009142E-003, 1.2805995E+002
 8.7028854E+001, 0.0000000E+000, 1.4232711E-001,-1.0672236E+000, 2.2553306E-001, 0.0000000E+000, 1.4619901E-001, 0.0000000E+000,-5.5320479E-001,-5.5316444E-001, 3.5132313E-003, 1.3054546E+002
 8.8019531E+001, 0.0000000E+000, 1.4351005E-001,-1.0670855E+000, 2.2567219E-001, 0.0000000E+000, 1.4672870E-001, 0.0000000E+000,-5.5118346E-001,-5.5117453E-001, 3.5127531E-003, 1.3296824E+002
 8.9033363E+001, 0.0000000E+000, 1.4470302E-001,-1.0678439E+000, 2.2191460E-001, 0.0000000E+000, 1.4570870E-001, 0.0000000E+000,-5.5539861E-001,-5.5551761E-001, 3.5152639E-003, 1.3543082E+002
 9.0001373E+001, 0.0000000E+000, 1.4590950E-001,-1.0678312E+000, 2.1605589E-001, 0.0000000E+000, 1.4385589E-001, 0.0000000E+000,-5.6190791E-001,-5.6200988E-001, 3.5152180E-003, 1.3775240E+002
 9.1031837E+001, 0.0000000E+000, 1.4716313E-001,-1.0652694E+000, 2.1507438E-001, 0.0000000E+000, 1.4395662E-001, 0.0000000E+000,-5.5934162E-001,-5.5907531E-001, 3.5067805E-003, 1.4022387E+002
 9.2019371E+001, 0.0000000E+000, 1.4839132E-001,-1.0648256E+000, 2.1990760E-001, 0.0000000E+000, 1.4636585E-001, 0.0000000E+000,-5.5024267E-001,-5.5016087E-001, 3.5053285E-003, 1.4263243E+002
 9.3034615E+001, 0.0000000E+000, 1.4959470E-001,-1.0646313E+000, 2.2075079E-001, 0.0000000E+000, 1.4717958E-001, 0.0000000E+000,-5.4722627E-001,-5.4710618E-001, 3.5046879E-003, 1.4512239E+002
 9.4019058E+001, 0.0000000E+000, 1.5078965E-001,-1.0643850E+000, 2.2591903E-001, 0.0000000E+000, 1.4970931E-001, 0.0000000E+000,-5.3821352E-001,-5.3796704E-001, 3.5038707E-003, 1.4757758E+002
 9.5032524E+001, 0.0000000E+000, 1.5198874E-001,-1.0655659E+000, 2.3868218E-001, 0.0000000E+000, 1.5525795E-001, 0.0000000E+000,-5.2007641E-001,-5.1963705E-001, 3.5077653E-003, 1.5019789E+002
 9.6034683E+001, 0.0000000E+000, 1.5314283E-001,-1.0668970E+000, 2.5092566E-001, 0.0000000E+000, 1.6058649E-001, 0.0000000E+000,-5.0242801E-001,-5.0224198E-001, 3.5121440E-003, 1.5287902E+002
 9.7008583E+001, 0.0000000E+000, 1.5420938E-001,-1.0678690E+000, 2.5481109E-001, 0.0000000E+000, 1.6255108E-001, 0.0000000E+000,-4.9640283E-001,-4.9629745E-001, 3.5153471E-003, 1.5551698E+002
 9.8003693E+001, 0.0000000E+000, 1.5524549E-001,-1.0683019E+000, 2.5766332E-001, 0.0000000E+000, 1.6410213E-001, 0.0000000E+000,-4.9134915E-001,-4.9129093E-001, 3.5167591E-003, 1.5823825E+002
 9.9029327E+001, 0.0000000E+000, 1.5630631E-001,-1.0691023E+000, 2.5671594E-001, 0.0000000E+000, 1.6414306E-001, 0.0000000E+000,-4.9188380E-001,-4.9193702E-001, 3.5194086E-003, 1.6104438E+002
 1.0000000E+002, 0.0000000E+000, 1.5737952E-001,-1.0692590E+000, 2.5307668E-001, 0.0000000E+000, 1.6311974E-001, 0.0000000E+000,-4.9560393E-001,-4.9568303E-001, 3.5199033E-003, 1.6368363E+002
